OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,LineTotal
1,3340,47,3,1096.87,3290.6099999999997
2,10720,388,8,56.06,448.48
3,8861,420,5,1397.51,6987.55
4,11781,115,1,1165.7,1165.7
5,3072,68,9,1042.78,9385.02
6,6592,228,5,437.1,2185.5
7,2931,55,6,392.09,2352.54
8,5675,473,2,252.72,505.44
9,9794,47,4,1830.84,7323.36
10,5254,348,2,1744.42,3488.84
11,8405,292,5,1180.9,5904.5
12,2147,254,2,580.95,1161.9
13,3343,406,2,1527.77,3055.54
14,6802,239,6,338.03,2028.1799999999998
15,9265,430,3,1632.42,4897.26
16,2223,15,4,1641.78,6567.12
17,5634,21,4,608.04,2432.16
18,4997,331,6,1005.43,6032.58
19,13093,21,1,1246.42,1246.42
20,6633,41,6,445.38,2672.2799999999997
21,9222,12,7,707.28,4950.96
22,7923,434,4,1217.84,4871.36
23,2602,182,3,1125.12,3375.3599999999997
24,12283,185,1,907.75,907.75
25,11571,14,7,497.64,3483.48
26,3539,131,7,1097.8,7684.599999999999
27,8720,148,8,772.73,6181.84
28,5836,294,1,453.75,453.75
29,8920,119,4,638.22,2552.88
30,10313,382,3,513.05,1539.1499999999999
31,10307,99,4,788.95,3155.8
32,8785,408,6,1929.36,11576.16
33,13854,25,9,1876.29,16886.61
34,14363,194,8,1340.94,10727.52
35,7768,395,4,1506.63,6026.52
36,3498,119,2,816.6,1633.2
37,6720,460,6,1560.99,9365.94
38,12722,336,5,1704.55,8522.75
39,7559,215,4,1607.77,6431.08
40,7497,317,5,428.85,2144.25
41,5776,109,9,1651.17,14860.53
42,14392,80,9,1635.93,14723.37
43,267,51,9,1441.42,12972.78
44,3465,98,9,1697.35,15276.15
45,6913,478,3,1691.55,5074.65
46,3884,457,8,1173.8,9390.4
47,13859,151,2,1367.33,2734.66
48,11860,4,1,726.37,726.37
49,9395,43,6,273.18,1639.08
50,3848,412,5,1096.01,5480.05
51,1607,362,4,1069.02,4276.08
52,6693,437,5,1601.85,8009.25
53,6245,263,8,422.88,3383.04
54,11732,345,8,1706.28,13650.24
55,6789,357,9,1592.45,14332.050000000001
56,7372,191,4,1469.67,5878.68
57,13589,240,8,407.01,3256.08
58,8660,327,6,675.27,4051.62
59,13829,49,4,866.15,3464.6
60,2071,21,3,50.82,152.46
61,4793,107,4,439.43,1757.72
62,12615,424,8,1344.48,10755.84
63,6721,354,4,1171.35,4685.4
64,7065,104,5,1894.78,9473.9
65,659,304,6,380.6,2283.6000000000004
66,14082,485,9,1059.1,9531.9
67,12172,264,4,88.94,355.76
68,14250,130,4,1185.25,4741.0
69,537,440,6,255.51,1533.06
70,2428,21,8,223.82,1790.56
71,14256,148,2,907.95,1815.9
72,6123,77,3,707.61,2122.83
73,9042,204,7,930.34,6512.38
74,10366,67,6,104.57,627.42
75,13983,387,9,196.17,1765.53
76,12730,440,2,190.33,380.66
77,4925,315,4,301.17,1204.68
78,2092,66,9,891.2,8020.8
79,10901,110,6,909.29,5455.74
80,9575,398,7,681.5,4770.5
81,12487,451,1,254.7,254.7
82,1677,189,7,1727.08,12089.56
83,5844,412,1,1274.21,1274.21
84,8845,328,1,1280.28,1280.28
85,4404,249,2,657.04,1314.08
86,7964,30,7,1790.6,12534.199999999999
87,7525,139,6,644.97,3869.82
88,11353,79,7,1317.99,9225.93
89,11952,401,3,1840.68,5522.04
90,7533,248,4,1988.45,7953.8
91,12762,367,5,450.62,2253.1
92,14572,458,4,1743.09,6972.36
93,10465,423,1,1439.92,1439.92
94,4456,286,2,191.61,383.22
95,10664,382,7,392.28,2745.96
96,5111,368,5,1045.34,5226.7
97,3126,16,3,1043.21,3129.63
98,4763,18,8,1581.13,12649.04
99,2383,222,6,894.44,5366.64
100,13187,129,4,1449.11,5796.44
101,14941,47,1,1990.85,1990.85
102,6239,167,8,1904.08,15232.64
103,315,488,3,1107.79,3323.37
104,8680,45,2,1548.82,3097.64
105,13687,257,9,716.88,6451.92
106,11128,36,3,1574.33,4722.99
107,13330,419,8,1291.74,10333.92
108,15000,447,4,889.72,3558.88
109,6973,217,2,991.55,1983.1
110,10877,364,4,927.0,3708.0
111,3884,177,4,1322.22,5288.88
112,8879,147,5,1421.92,7109.6
113,1992,498,3,1004.2,3012.6000000000004
114,6365,225,5,1730.74,8653.7
115,2928,60,6,1895.33,11371.98
116,1445,6,3,1369.29,4107.87
117,12325,166,2,422.11,844.22
118,7497,281,9,396.73,3570.57
119,10157,414,8,1998.76,15990.08
120,11934,27,6,1072.49,6434.9400000000005
121,14056,188,5,1340.04,6700.2
122,3020,239,4,1039.0,4156.0
123,7540,56,6,1340.66,8043.960000000001
124,3965,338,1,943.35,943.35
125,1513,267,7,1753.28,12272.96
126,8091,25,2,591.96,1183.92
127,9216,278,1,1990.11,1990.11
128,1951,157,1,1254.49,1254.49
129,6349,89,2,223.96,447.92
130,2319,87,3,939.99,2819.9700000000003
131,14518,184,3,824.52,2473.56
132,1733,458,9,1870.58,16835.22
133,5930,351,8,629.64,5037.12
134,631,487,1,958.32,958.32
135,10814,430,5,1459.97,7299.85
136,10521,216,5,223.92,1119.6
137,3084,281,7,413.39,2893.73
138,6129,496,7,1328.98,9302.86
139,11529,6,8,246.53,1972.24
140,14973,301,2,608.86,1217.72
141,6437,90,2,860.88,1721.76
142,6281,279,2,479.67,959.34
143,12485,338,9,688.91,6200.19
144,9911,247,9,517.24,4655.16
